"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.30.217.62","128.135.24.73","TCP","78","64558  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1294714236 TSecr=0 SACK_PERM"
"2","0.091959","128.135.24.73","10.30.217.62","TCP","66","80  >  64558 [SYN, ACK, ECE] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"3","0.092377","10.30.217.62","128.135.24.73","TCP","54","64558  >  80 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"4","0.126582","10.30.217.62","128.135.24.73","TCP","78","64561  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=76640072 TSecr=0 SACK_PERM"
"5","0.218878","128.135.24.73","10.30.217.62","TCP","66","443  >  64561 [SYN, ACK, ECE] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"6","0.219347","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"7","0.219361","10.30.217.62","128.135.24.73","TCP","1514","64561  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1460 [TCP PDU reassembled in 8]"
"8","0.219364","10.30.217.62","128.135.24.73","TLSv1.2","132","Client Hello (SNI=cs.uchicago.edu)"
"9","0.224430","128.135.24.73","10.30.217.62","TCP","60","443  >  64561 [ACK] Seq=1 Ack=1461 Win=1214720 Len=0"
"10","0.224431","128.135.24.73","10.30.217.62","TCP","66","443  >  64561 [ACK] Seq=1 Ack=1539 Win=1214720 Len=0 SLE=1 SRE=1539"
"11","0.313584","128.135.24.73","10.30.217.62","TLSv1.2","1514","Server Hello"
"12","0.313585","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=1461 Ack=1539 Win=64128 Len=1460 [TCP PDU reassembled in 13]"
"13","0.313586","128.135.24.73","10.30.217.62","TLSv1.2","934","Certificate, Server Key Exchange, Server Hello Done"
"14","0.313987","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=1539 Ack=3801 Win=258368 Len=0"
"15","0.313989","10.30.217.62","128.135.24.73","TCP","54","[TCP Window Update] 64561  >  443 [ACK] Seq=1539 Ack=3801 Win=262144 Len=0"
"16","0.322647","10.30.217.62","128.135.24.73","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"17","0.324570","10.30.217.62","128.135.24.73","TCP","1514","64561  >  443 [ACK] Seq=1632 Ack=3801 Win=262144 Len=1460 [TCP PDU reassembled in 18]"
"18","0.324584","10.30.217.62","128.135.24.73","TLSv1.2","981","Application Data"
"19","0.414542","128.135.24.73","10.30.217.62","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
